AA,LCN,Πεδίο
1,10000025,676 ## $a 016.7809495 $v 21η εκδ.
,,676 ## $a 016.78094950266 $v 22η έκδ.
2,10000351,676 ## $a 938.31 $v 21η έκδ.
,,676 ## $a 938.3 $v 22η έκδ.
3,10000813,676 ## $a 938.5095 $v 20η
,,676 ## $a 938.5012 $v 20η
4,10000951,676 ## $a 784.9 $v 21η εκδ.
,,676 ## $a 784.8094955 $v 22η έκδ.
5,10000996,676 ## $a 889.209 $v Τοπική
,,686 ## $a QUE
6,10001105,676 ## $a 780.92 $v 20η
,,676 ## $a 784.2092 $v 22η έκδ.
7,10001142,676 ## $a 938.356 $v Ελλ. έκδ.
,,676 ## $a 938.3 $v Ελλ. έκδ.
8,10001420,676 ## $a 938.57 $v Ελλ. έκδ.
,,676 ## $a 938.5 $v Ελλ. έκδ.
9,10002168,676 ## $a 630.16 $v 21η εκδ.
,,676 ## $a 307.720 949 5 ΚΟΒ $v 21η εκδ.
10,10002373,676 ## $a 398 $v 21η εκδ.
,,676 ## $a 791.53 $v 22
11,10002697,676 ## $a 889.21 $v 21η εκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
12,10002814,676 ## $a 889.21 $v Τοπική
,,676 ## $a 889.209 $v Τοπική
13,10003100,676 ## $a 238.19 $v 20η
,,676 ## $a 270.7 $v 21η εκδ.
14,10003109,676 ## $a 783.243 $v 21η έκδ.
,,686 ## $a ΦΑΚ 15
15,10003210,676 ## $a 702 $v 21η εκδ.
,,676 ## $a 889.21 $v 21η εκδ.
16,10003238,676 ## $a 199.495 $v 20η
,,676 ## $a 341.2422 $v 21η
17,10003245,676 ## $a 327.730561 $v 21η έκδ.
,,676 ## $a 327.561073
18,10003603,676 ## $a 709.495 $v 20η
,,676 ## $a 709.4951 $v 22η έκδ.
19,10003822,676 ## $a 938.509 $v 21η εκδ.
,,676 ## $a 938.609 $v 22η έκδ.
20,10004306,676 ## $a 015.495 $v 20η
,,676 ## $a 889.12016 $v Ελλ. έκδ.
21,10004503,676 ## $a 889.21 $v Τοπική
,,676 ## $a 889.209 $v Τοπική
22,10004689,676 ## $a 783.24309495 $v 21η έκδ.
,,686 ## $a ΦΑΚ 15
23,10004748,676 ## $a 874.109 $v 21η εκδ.
,,676 ## $a 870.1 $v 21η εκδ.
24,10004781,676 ## $a 480.31 $v 21η εκδ.
,,676 ## $a 480.3 $v 22η έκδ.
25,10004945,676 ## $a 327.1 $v 21η εκδ.
